"UO - Órgão Superior",,"Função Governo",,"Subfunção Governo",,"Ação Governo",,"JAN/2018","FEV/2018","MAR/2018","JAN/2017","FEV/2017","MAR/2017","ABR/2017","MAI/2017","JUN/2017","JUL/2017","AGO/2017","SET/2017","OUT/2017","NOV/2017","DEZ/2017","JAN/2016","FEV/2016","MAR/2016","ABR/2016","MAI/2016","JUN/2016","JUL/2016","AGO/2016","SET/2016","OUT/2016","NOV/2016","DEZ/2016"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00NP","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO PARA -","","","","","","","","","","","","","","","","","","","","","550.000,00","0,00","0,00","0,00","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","0A45","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO","","","","","","","","","","","","","","","","","","","","","","","","","","","8.845.949,67"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","0E45","PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA BRASILEIRA DE IN","","","","","","","","","","","","","","","","182.155.000,00","82.266.530,00","89.178.320,00","0,00","0,00","36.000.000,00","21.049.000,00","122.477.063,00","10.467.721,00","0,00","144.922.250,00","400.213.970,92"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","121","PLANEJAMENTO E ORCAMENTO","122X","IMPLANTACAO DO SISTEMA DE ATENDIMENTO PORTUARIO UNIFICADO","","","","","","","","","","","","","","","","","","","1.535.473,66","0,00","1.263.923,37","0,00","1.350.883,51","2.029.891,03","0,00","0,00","4.752.348,63"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","121","PLANEJAMENTO E ORCAMENTO","12KP","IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTI","","","","","","","","","","","","","","","","","","","600.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","121","PLANEJAMENTO E ORCAMENTO","20B9","ESTUDOS PARA O PLANEJAMENTO DO SETOR PORTUARIO - PAC","","","","","","","","","","","","","","","","696.857,73","513.682,28","1.670.956,56","139.727,84","1.750.000,00","4.515.087,51","1.349.193,00","2.583.636,38","0,00","0,00","1.488.257,42","929.280,35"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","121","PLANEJAMENTO E ORCAMENTO","20UA","ESTUDOS, PROJETOS E PLANEJAMENTO DE INFRAESTRUTURA DE TRANSP","1.046.872,79","0,00","488.869,63","531.722,96","638.272,06","262.156,19","880.856,43","796.016,47","897.185,58","1.460.512,81","2.125.145,94","241.710,36","2.467.438,33","1.860.425,88","689.815,76","","","","","","","","","","","",""
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","122","ADMINISTRACAO GERAL","8785","GESTAO E COORDENACAO DO PROGRAMA DE ACELERACAO DO CRESCIMENT","51.006,44","46.800,00","111.138,71","5.363,12","89.724,77","33.800,28","150.266,55","134.487,51","101.985,66","313.589,74","(555,37)","(710,93)","70.580,91","870.426,34","50.187,76","7.038.816,90","7.188.926,19","14.230.529,51","9.125.485,18","2.442.225,65","5.609.725,96","4.798.222,91","9.545.284,14","5.863.156,13","4.781.877,69","5.641.930,34","4.798.264,95"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","781","TRANSPORTE AEREO","14UB","CONSTRUCAO, REFORMA E REAPARELHAMENTO DE AEROPORTOS E AERODR","","","","","","","","","","","","","","","","954.498,43","4.769.700,00","7.849.718,04","515.317,65","3.864.644,02","7.921.661,35","3.927.977,76","304.674,86","4.958.691,76","5.776.640,16","0,00","2.184.440,00"
"20101","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","781","TRANSPORTE AEREO","211I","ELABORACAO DE ESTUDOS, PESQUISAS E DIAGNOSTICOS SOBRE AVIACA","","","","","","","","","","","","","","","","700.000,00","0,00","700.000,00","0,00","2.100.000,00","0,00","2.100.000,00","0,00","700.000,00","700.000,00","3.614.456,66","1.807.228,34"
