number,fifa_display_name,last_name,first_name,shirt_name,day_of_birth,position,club,height,caps,goals,team,esporte,media_gols
10,JOAO MARIO,NAVAL DA COSTA EDUARDO,João Mário,J. MÁRIO,1993-01-19,MF,West Ham United (ENG),1.79,38,2,Portugal,futebol,0.1
11,BERNARDO SILVA,MOTA VEIGA DE CARVALHO E SILVA,Bernardo,BERNARDO,1994-08-10,MF,Manchester City (ENG),1.73,27,2,Portugal,futebol,0.1
12,ANTHONY LOPES,LOPES,Anthony,LOPES,1990-10-01,GK,Olympique Lyon (FRA),1.84,7,0,Portugal,futebol,0
13,RUBEN DIAS,DOS SANTOS GATO ALVES DIAS,Rúben,RUBEN DIAS,1997-05-14,DF,Benfica (POR),1.87,1,0,Portugal,futebol,0
14,WILLIAM,SILVA DE CARVALHO,William,WILLIAM,1992-04-07,MF,Sporting CP (POR),1.9,45,2,Portugal,futebol,0
15,RICARDO,BARBOSA PEREIRA,Ricardo Domingos,RICARDO,1993-10-06,DF,FC Porto (POR),1.74,4,0,Portugal,futebol,0
16,BRUNO FERNANDES,BORGES FERNANDES,Bruno Miguel,B. FERNANDES,1994-09-08,MF,Sporting CP (POR),1.83,8,1,Portugal,futebol,0.1
17,GONCALO GUEDES,GANCHINHO GUEDES,Gonçalo Manuel,G. GUEDES,1996-11-29,FW,Valencia CF (ESP),1.79,12,3,Portugal,futebol,0.2
18,GELSON MARTINS,BATALHA MARTINS,Gelson Dany,GELSON,1995-05-11,FW,Sporting CP (POR),1.73,19,0,Portugal,futebol,0
19,MARIO RUI,SILVA DUARTE,Mário Rui,MÁRIO RUI,1991-05-27,DF,SSC Napoli (ITA),1.68,4,0,Portugal,futebol,0
20,RICARDO QUARESMA,ANDRADE QUARESMA BERNARDO,Ricardo,QUARESMA,1983-09-26,FW,Besiktas (TUR),1.75,78,9,Portugal,futebol,0.1
21,CEDRIC,ALVES SOARES,Cédric Ricardo,CÉDRIC,1991-08-31,DF,Southampton (ENG),1.72,31,1,Portugal,futebol,0
22,BETO,BASTOS PIMPAREL,António Alberto,BETO,1982-05-01,GK,Goztepespor (TUR),1.83,14,0,Portugal,futebol,0
23,ADRIEN SILVA,PERRUCHET DA SILVA,Adrien Sébastien,ADRIEN,1989-03-15,MF,Leicester (ENG),1.76,25,1,Portugal,futebol,0
1,Igor AKINFEEV,AKINFEEV,Igor,AKINFEEV,1986-04-08,GK,CSKA Moskva (RUS),1.85,108,0,Russia,futebol,0
2,MARIO FERNANDES,FIGUEIRA FERNANDES,Mario,FERNANDES,1990-09-19,DF,CSKA Moskva (RUS),1.87,7,0,Russia,futebol,0
3,Ilya KUTEPOV,KUTEPOV,Ilya,KUTEPOV,1993-07-29,DF,Spartak Moskva (RUS),1.9,9,0,Russia,futebol,0
4,Sergey IGNASHEVICH,IGNASHEVICH,Sergey,IGNASHEVICH,1979-07-14,DF,CSKA Moskva (RUS),1.86,124,9,Russia,futebol,0.1
5,Andrey SEMENOV,SEMENOV,Andrey,SEMENOV,1989-03-24,DF,FC Akhmat Grozny (RUS),1.91,6,0,Russia,futebol,0
6,Denis CHERYSHEV,CHERYSHEV,Denis,CHERYSHEV,1990-12-26,MF,Villarreal CF (ESP),1.73,13,3,Russia,futebol,0.2
7,Daler KUZIAEV,KUZIAEV,Daler,KUZIAEV,1993-01-15,MF,Zenit St. Petersburg (RUS),1.82,8,0,Russia,futebol,0
8,Iury GAZINSKY,GAZINSKII,Iurii,GAZINSKII,1989-07-20,MF,Krasnodar (RUS),1.8,8,1,Russia,futebol,0.1
9,Alan DZAGOEV,DZAGOEV,Alan,DZAGOEV,1990-06-17,MF,CSKA Moskva (RUS),1.78,58,9,Russia,futebol,0.2
10,Fedor SMOLOV,SMOLOV,Fedor,SMOLOV,1990-02-09,FW,Krasnodar (RUS),1.85,34,12,Russia,futebol,0.4
11,Roman ZOBNIN,ZOBNIN,Roman,ZOBNIN,1994-02-11,MF,Spartak Moskva (RUS),1.85,14,0,Russia,futebol,0
12,Andrei LUNEV,LUNEV,Andrei,LUNEV,1991-11-13,GK,Zenit St. Petersburg (RUS),1.89,3,0,Russia,futebol,0
13,Fedor KUDRIASHOV,KUDRIASHOV,Fedor,KUDRIASHOV,1987-04-05,DF,Rubin Kazan (RUS),1.87,20,0,Russia,futebol,0
14,Vladimir GRANAT,GRANAT,Vladimir,GRANAT,1987-05-22,DF,Rubin Kazan (RUS),1.84,12,1,Russia,futebol,0.1
15,Alexey MIRANCHUK,MIRANCHUK,Alexey,AL MIRANCHUK,1995-10-17,MF,Lokomotiv Moskva (RUS),1.85,18,4,Russia,futebol,0.2
16,Anton MIRANCHUK,MIRANCHUK,Anton,AN MIRANCHUK,1995-10-17,MF,Lokomotiv Moskva (RUS),1.82,6,0,Russia,futebol,0
17,Aleksandr GOLOVIN,GOLOVIN,Aleksandr,GOLOVIN,1996-05-30,MF,CSKA Moskva (RUS),1.78,21,3,Russia,futebol,0.1
18,Yury ZHIRKOV,ZHIRKOV,Yury,ZHIRKOV,1983-08-20,MF,Zenit St. Petersburg (RUS),1.8,86,2,Russia,futebol,0
19,Alexander SAMEDOV,SAMEDOV,Alexander,SAMEDOV,1984-07-19,MF,Spartak Moskva (RUS),1.78,50,7,Russia,futebol,0.1
20,Vladimir GABULOV,GABULOV,Vladimir,GABULOV,1983-10-19,GK,Club Brugge (BEL),1.9,10,0,Russia,futebol,0
21,Aleksandr EROKHIN,EROKHIN,Aleksandr,EROKHIN,1989-10-13,MF,Zenit St. Petersburg (RUS),1.91,17,0,Russia,futebol,0
22,Artem DZYUBA,DZYUBA,Artem,DZYUBA,1988-08-22,FW,Arsenal Tula (RUS),1.96,25,13,Russia,futebol,0.5
23,Igor SMOLNIKOV,SMOLNIKOV,Igor,SMOLNIKOV,1988-08-08,DF,Zenit St. Petersburg (RUS),1.79,27,0,Russia,futebol,0
1,ABDULLAH ALMUAIOUF,ALMUAIOUF,Abdullah Ibrahim A,ABDULLAH,1987-01-23,GK,Al Hilal (KSA),1.78,9,0,Saudi Arabia,futebol,0
2,MANSOUR ALHARBI,ALHARBI,Mansour,MANSOUR,1987-10-19,DF,Al Ahli (KSA),1.73,39,1,Saudi Arabia,futebol,0
3,OSAMA HAWSAWI,HAWSAWI,Osama Abdulrzag M,OSAMA,1984-03-31,DF,Al Hilal (KSA),1.88,137,7,Saudi Arabia,futebol,0.1
4,ALI ALBULAYHI,ALBULAYHI,Ali Hadi M,ALI,1989-11-21,DF,Al Hilal (KSA),1.82,5,0,Saudi Arabia,futebol,0
5,OMAR HAWSAWI,HAWSAWI,Omar Ibrahim O,OMAR,1985-09-27,DF,Al Nasr (KSA),1.85,41,3,Saudi Arabia,futebol,0.1
6,MOHAMMED ALBURAYK,ALBURAYK,Mohammed Ibrahim M,ALBURAYK,1992-09-15,DF,Al Hilal (KSA),1.73,11,0,Saudi Arabia,futebol,0
7,SALMAN ALFARAJ,ALFARAJ,Salman Mohammed M,SALMAN,1989-08-01,MF,Al Hilal (KSA),1.79,41,2,Saudi Arabia,futebol,0
8,YAHIA ALSHEHRI,ALSHEHRI,Yahia Sulaiman Ali,YAHIA,1990-06-26,MF,Leganes (ESP),1.65,57,7,Saudi Arabia,futebol,0.1
9,HATAN BAHBRI,BAHBRI,Hatan Sultan,HATAN,1992-07-16,MF,Al Shabab (KSA),1.7,7,0,Saudi Arabia,futebol,0
10,MOHAMMED ALSAHLAWI,ALSAHLAWI,Mohammed Ibrahim Mohammad,ALSAHLAWI,1987-01-10,FW,Al Nasr (KSA),1.79,42,28,Saudi Arabia,futebol,0.7
11,ABDULMALEK ALKHAIBRI,ALKHAIBRI,Abdulmalek Abdullah A,ABDULMALEK,1986-03-13,MF,Al Hilal (KSA),1.77,33,0,Saudi Arabia,futebol,0
12,MOHAMED KANNO,KANNO,Mohamed Ibrahim A,KANNO,1994-09-22,MF,Al Hilal (KSA),1.92,7,1,Saudi Arabia,futebol,0.1
13,YASSER ALSHAHRANI,ALSHAHRANI,Yasir Gharsan S,YASSER,1992-05-25,DF,Al Hilal (KSA),1.7,37,0,Saudi Arabia,futebol,0
14,ABDULLAH OTAYF,OTAYF,Abdullah Ibrahim I,OTAYF,1992-08-03,MF,Al Hilal (KSA),1.77,15,1,Saudi Arabia,futebol,0.1
15,ABDULLAH ALKHAIBARI,ALKHAIBARI,Abdullah Mohammed,ALKHAIBARI,1996-08-16,MF,Al Shabab (KSA),1.75,5,0,Saudi Arabia,futebol,0
16,HUSSAIN ALMOQAHWI,ALMOQAHWI,Hussain Ali J,HUSSAIN,1988-03-24,MF,Al Ahli (KSA),1.74,17,1,Saudi Arabia,futebol,0.1
17,TAISEER ALJASSAM,ALJASSAM,Taiseer Jaber,TAISEER,1984-07-25,MF,Al Ahli (KSA),1.69,134,19,Saudi Arabia,futebol,0.1
18,SALEM ALDAWSARI,ALDAWSARI,Salem Mohammed S,SALEM,1991-08-19,MF,Villarreal CF (ESP),1.74,33,4,Saudi Arabia,futebol,0.1
19,FAHAD ALMUWALLAD,ALMUWALLAD ALHARBI,Fhad Mosaed,FAHAD,1994-09-14,FW,Levante UD (ESP),1.68,47,10,Saudi Arabia,futebol,0.2
20,MUHANNAD ASIRI,ABU RADIYAH,Muhannad Ahmed,MUHANNAD,1986-10-14,FW,Al Ahli (KSA),1.85,18,4,Saudi Arabia,futebol,0.2
21,YASSER ALMOSAILEM,ALMOSAILEM,Yasser Abdullah N,ALMOSAILEM,1984-02-27,GK,Al Ahli (KSA),1.86,32,0,Saudi Arabia,futebol,0
22,MOHAMMED ALOWAIS,ALOWAIS,Mohammed,ALOWAIS,1991-10-10,GK,Al Ahli (KSA),1.87,7,0,Saudi Arabia,futebol,0
23,MOTAZ HAWSAWI,HAWSAWI,Motaz Ali Hassan,MOTAZ,1992-02-17,DF,Al Ahli (KSA),1.8,16,0,Saudi Arabia,futebol,0
1,Abdoulaye DIALLO,DIALLO,Abdoulaye,DIALLO,1992-03-30,GK,Rennes (FRA),1.89,16,0,Senegal,futebol,0
2,Adama MBENGUE,MBENGUE,Adama,MBENGUE,1993-12-01,DF,Caen (FRA),1.8,3,0,Senegal,futebol,0
3,Kalidou KOULIBALY,KOULIBALY,Kalidou,KOULIBALY,1991-06-20,DF,SSC Napoli (ITA),1.95,27,1,Senegal,futebol,0
4,Kara MBODJI,MBODJI,Serigne Modou Kara,KARA,1989-11-22,DF,Anderlecht (BEL),1.92,43,5,Senegal,futebol,0.1
5,Idrissa Gana GUEYE,GUEYE,Idrissa Gana,GANA,1989-09-26,MF,Everton (ENG),1.74,56,1,Senegal,futebol,0
6,Salif SANE,SANE,Salif,S. SANE,1990-08-25,MF,Hannover 96 (GER),1.96,19,0,Senegal,futebol,0
7,Moussa SOW,SOW,Moussa,SOW,1986-01-19,FW,Bursaspor (TUR),1.8,46,19,Senegal,futebol,0.4
8,Cheikhou KOUYATE,KOUYATE,Cheikhou,C. KOUYATE,1989-12-21,MF,West Ham United (ENG),1.89,49,3,Senegal,futebol,0.1
9,Mame DIOUF,DIOUF,Mame Biram,M. DIOUF,1987-12-16,FW,Stoke (ENG),1.85,45,10,Senegal,futebol,0.2
10,Sadio MANE,MANE,Sadio,MANE,1992-04-10,FW,Liverpool (ENG),1.75,53,14,Senegal,futebol,0.3
11,Cheikh NDOYE,N'DOYE,Cheikh Tidiane,CH. NDOYE,1986-03-29,MF,Birmingham City (ENG),1.92,28,3,Senegal,futebol,0.1
12,Youssouf SABALY,SABALY,Youssouf,SABALY,1993-03-05,DF,Girondins Bordeaux (FRA),1.74,7,0,Senegal,futebol,0
13,Alfred NDIAYE,N'DIAYE,Alfred John Momar,A. NDIAYE,1990-03-06,MF,Wolverhampton (ENG),1.86,17,1,Senegal,futebol,0.1
14,Moussa KONATE,KONATE,Moussa,KONATE,1993-04-03,FW,Amiens (FRA),1.8,27,9,Senegal,futebol,0.3
15,Diafra SAKHO,SAKHO,Diafra,SAKHO,1989-12-24,FW,Rennes (FRA),1.84,11,3,Senegal,futebol,0.3
16,Khadim NDIAYE,NDIAYE,Khadim,KH. NDIAYE,1985-04-05,GK,Horoya Athlétique Club (GUI),1.85,43,0,Senegal,futebol,0
17,Pape Alioune NDIAYE,NDIAYE,Pape Alioune,P.A. NDIAYE,1990-10-27,MF,Stoke (ENG),1.81,16,1,Senegal,futebol,0.1
18,Ismaila SARR,SARR,Ismaila,ISMAÏLA,1998-02-25,FW,Rennes (FRA),1.75,14,3,Senegal,futebol,0.2
19,Mbaye NIANG,NIANG,Mbaye Hamady,NIANG,1994-12-19,FW,Torino (ITA),1.84,9,1,Senegal,futebol,0.1
20,Keita BALDE,BALDE DIAO,Keita,KEÏTA BALDE,1995-03-08,FW,AS Monaco (FRA),1.81,18,3,Senegal,futebol,0.2
21,Lamine GASSAMA,GASSAMA,Lamine,GASSAMA,1989-10-20,DF,Adanaspor (TUR),1.81,39,0,Senegal,futebol,0
22,Moussa WAGUE,WAGUE,Moussa,M. WAGUE,1998-10-04,DF,Eupen (BEL),1.77,8,0,Senegal,futebol,0
23,Alfred GOMIS,GOMIS,Amigo Alfred Junior,GOMIS,1993-09-05,GK,Spal Ferrara (ITA),1.96,5,0,Senegal,futebol,0
1,Vladimir STOJKOVIC,STOJKOVIĆ,Vladimir,STOJKOVIĆ,1983-07-28,GK,Partizan Beograd (SRB),1.95,83,0,Serbia,futebol,0
2,Antonio RUKAVINA,RUKAVINA,Antonio,RUKAVINA,1984-01-26,DF,Villarreal CF (ESP),1.77,48,0,Serbia,futebol,0
3,Dusko TOSIC,TOŠIĆ,Duško,TOŠIĆ,1985-01-19,DF,Besiktas (TUR),1.85,26,1,Serbia,futebol,0
4,Luka MILIVOJEVIC,MILIVOJEVIĆ,Luka,MILIVOJEVIĆ,1991-04-07,MF,Crystal Palace (ENG),1.86,30,1,Serbia,futebol,0
5,Uros SPAJIC,SPAJIC,Uros,SPAJIĆ,1993-02-13,DF,Anderlecht (BEL),1.88,5,0,Serbia,futebol,0
6,Branislav IVANOVIC,IVANOVIĆ,Branislav,IVANOVIĆ,1984-02-22,DF,Zenit St. Petersburg (RUS),1.85,105,13,Serbia,futebol,0.1
7,Andrija ZIVKOVIC,ŽIVKOVIĆ,Andrija,ŽIVKOVIĆ,1996-07-11,MF,Benfica (POR),1.69,10,0,Serbia,futebol,0
8,Aleksandar PRIJOVIC,PRIJOVIĆ,Aleksandar,PRIJOVIĆ,1990-04-21,FW,PAOK (GRE),1.91,10,1,Serbia,futebol,0.1
9,Aleksandar MITROVIC,MITROVIC,Aleksandar,MITROVIĆ,1994-09-16,FW,Fulham (ENG),1.89,40,17,Serbia,futebol,0.4
10,Dusan TADIC,TADIĆ,Dušan,TADIĆ,1988-11-20,MF,Southampton (ENG),1.81,55,12,Serbia,futebol,0.2
11,Aleksandar KOLAROV,KOLAROV,Aleksandar,KOLAROV,1985-11-10,DF,AS Roma (ITA),1.87,78,11,Serbia,futebol,0.1
12,Predrag RAJKOVIC,RAJKOVIĆ,Predrag,RAJKOVIĆ,1995-10-31,GK,Maccabi Tel Aviv (ISR),1.91,8,0,Serbia,futebol,0
13,Milos VELJKOVIC,VELJKOVIĆ,Miloš,VELJKOVIĆ,1995-09-26,DF,Werder Bremen (GER),1.88,2,0,Serbia,futebol,0
14,Milan RODIC,RODIĆ,Milan,RODIĆ,1991-04-02,DF,Crvena Zvezda (SRB),1.85,1,0,Serbia,futebol,0
15,Nikola MILENKOVIC,MILENKOVIĆ,Nikola,MILENKOVIĆ,1997-10-12,DF,Fiorentina (ITA),1.95,5,0,Serbia,futebol,0
16,Marko GRUJIC,GRUJIĆ,Marko,GRUJIĆ,1996-04-13,MF,Cardiff City (WAL),1.9,7,0,Serbia,futebol,0
17,Filip KOSTIC,KOSTIĆ,Filip,KOSTIĆ,1992-11-01,MF,Hamburger SV (GER),1.84,25,2,Serbia,futebol,0.1
18,Nemanja RADONJIC,RADONJIĆ,Nemanja,RADONJIĆ,1996-02-15,FW,Crvena Zvezda (SRB),1.85,4,0,Serbia,futebol,0
19,Luka JOVIC,JOVIĆ,Luka,JOVIĆ,1997-12-23,FW,Eintracht Frankfurt (GER),1.81,1,0,Serbia,futebol,0
20,Sergej MILINKOVIC-SAVIC,MILINKOVIĆ-SAVIĆ,Sergej,SERGEJ,1995-02-27,MF,Lazio (ITA),1.92,6,0,Serbia,futebol,0
21,Nemanja MATIC,MATIĆ,Nemanja,MATIĆ,1988-08-01,MF,Manchester United (ENG),1.94,42,2,Serbia,futebol,0
22,Adem LJAJIC,LJAJIĆ,Adem,LJAJIĆ,1991-09-29,MF,Torino (ITA),1.82,32,6,Serbia,futebol,0.2
23,Marko DMITROVIC,DMITROVIĆ,Marko,DMITROVIĆ,1992-01-24,GK,Eibar (ESP),1.94,2,0,Serbia,futebol,0
1,David DE GEA,DE GEA QUINTANA,David,DE GEA,1990-11-07,GK,Manchester United (ENG),1.9,31,0,Spain,futebol,0
2,Dani CARVAJAL,CARVAJAL RAMOS,Daniel,CARVAJAL,1992-01-11,DF,Real Madrid (ESP),1.73,16,0,Spain,futebol,0
3,Gerard PIQUE,PIQUÉ BERNABEU,Gerard,PIQUÉ,1987-02-02,DF,FC Barcelona (ESP),1.94,100,5,Spain,futebol,0
4,NACHO,FERNÁNDEZ IGLESIAS,José Ignacio,NACHO,1990-01-18,DF,Real Madrid (ESP),1.79,18,1,Spain,futebol,0.1
5,Sergio BUSQUETS,BUSQUETS BURGOS,Sergio,SERGIO,1988-07-16,MF,FC Barcelona (ESP),1.89,105,2,Spain,futebol,0
6,Andres INIESTA,INIESTA LUJAN,Andres,A. INIESTA,1984-05-11,MF,FC Barcelona (ESP),1.71,129,13,Spain,futebol,0.1
7,SAUL,ÑIGUEZ ESCLAPEZ,Saúl,SAÚL,1994-11-21,MF,Atlético Madrid (ESP),1.83,10,0,Spain,futebol,0
8,KOKE,RESURRECCIÓN MERODIO,Jorge,KOKE,1992-01-08,MF,Atlético Madrid (ESP),1.76,42,0,Spain,futebol,0
9,RODRIGO,MORENO MACHADO,Rodrigo,RODRIGO M.,1991-03-06,FW,Valencia CF (ESP),1.82,7,2,Spain,futebol,0.3
10,THIAGO,ALCANTARA DO NASCIMENTO,Thiago,THIAGO,1991-04-11,MF,Bayern München (GER),1.74,30,2,Spain,futebol,0.1
11,Lucas VAZQUEZ,VÁZQUEZ IGLESIAS,Lucas,LUCAS V.,1991-07-01,FW,Real Madrid (ESP),1.73,9,0,Spain,futebol,0
12,Alvaro ODRIOZOLA,ODRIOZOLA ARZALLUS,Álvaro,ODRIOZOLA,1995-12-14,DF,Real Sociedad (ESP),1.78,4,1,Spain,futebol,0.2
13,Kepa ARRIZABALAGA,ARRIZABALAGA REVUELTA,Kepa,ARRIZABALAGA,1994-10-03,GK,Athletic Club (ESP),1.89,1,0,Spain,futebol,0
14,Cesar AZPILICUETA,AZPILICUETA TANCO,César,AZPILICUETA,1989-08-28,DF,Chelsea (ENG),1.78,22,0,Spain,futebol,0
15,Sergio RAMOS,RAMOS GARCIA,Sergio,RAMOS,1986-03-30,DF,Real Madrid (ESP),1.83,154,13,Spain,futebol,0.1
16,Nacho MONREAL,MONREAL ERASO,Ignacio,MONREAL,1986-02-26,DF,Arsenal (ENG),1.79,22,1,Spain,futebol,0
17,Iago ASPAS,ASPAS JUNCAL,Iago,IAGO ASPAS,1987-08-01,FW,Celta (ESP),1.76,11,5,Spain,futebol,0.5
18,Jordi ALBA,ALBA RAMOS,Jordi,JORDI ALBA,1989-03-21,DF,FC Barcelona (ESP),1.7,64,8,Spain,futebol,0.1
19,Diego COSTA,DA SILVA COSTA,Diego,DIEGO COSTA,1988-10-07,FW,Atlético Madrid (ESP),1.85,22,10,Spain,futebol,0.5
20,Marco ASENSIO,ASENSIO WILLEMSEN,Marco,ASENSIO,1996-01-21,MF,Real Madrid (ESP),1.82,13,0,Spain,futebol,0
21,David SILVA,JIMENEZ SILVA,David Josue,SILVA,1986-01-08,FW,Manchester City (ENG),1.7,123,35,Spain,futebol,0.3
22,ISCO,ALARCON SUAREZ,Francisco Roman,ISCO,1992-04-21,MF,Real Madrid (ESP),1.76,30,10,Spain,futebol,0.3
23,Pepe REINA,REINA PAEZ,José Manuel,REINA,1982-08-31,GK,SSC Napoli (ITA),1.88,36,0,Spain,futebol,0
1,Robin OLSEN,OLSEN,Robin Patrick,OLSEN,1990-01-08,GK,FC København (DEN),1.98,19,0,Sweden,futebol,0
2,Mikael LUSTIG,LUSTIG,Carl Mikael,LUSTIG,1986-12-13,DF,Celtic (SCO),1.89,67,6,Sweden,futebol,0.1
3,Victor LINDELOF,NILSSON LINDELÖF,Victor Jörgen,LINDELÖF,1994-07-17,DF,Manchester United (ENG),1.87,21,1,Sweden,futebol,0
4,Andreas GRANQVIST,GRANQVIST,Andreas,GRANQVIST,1985-04-16,DF,Krasnodar (RUS),1.92,73,7,Sweden,futebol,0.1
5,Martin OLSSON,OLSSON,Martin Tony Waikwa,OLSSON,1988-05-17,DF,Swansea City (WAL),1.77,43,5,Sweden,futebol,0.1
6,Ludwig AUGUSTINSSON,AUGUSTINSSON,Hans Carl Ludwig,AUGUSTINSSON,1994-04-21,DF,Werder Bremen (GER),1.81,16,0,Sweden,futebol,0
7,Sebastian LARSSON,LARSSON,Bengt Ulf Sebastian,LARSSON,1985-06-06,MF,Hull City (ENG),1.78,101,6,Sweden,futebol,0.1
8,Albin EKDAL,EKDAL,Albin,EKDAL,1989-07-28,MF,Hamburger SV (GER),1.86,35,0,Sweden,futebol,0
9,Marcus BERG,BERG,Bengt Erik Markus,BERG,1986-08-17,FW,Al Ain (UAE),1.83,58,18,Sweden,futebol,0.3
10,Emil FORSBERG,FORSBERG,Emil Peter,FORSBERG,1991-10-23,MF,RasenBallsport Leipzig (GER),1.79,37,6,Sweden,futebol,0.2
11,John GUIDETTI,GUIDETTI,John Alberto,GUIDETTI,1992-04-15,FW,Alavés (ESP),1.85,20,1,Sweden,futebol,0
12,Karl-Johan JOHNSSON,JOHNSSON,Karl-Johan Anton,JOHNSSON,1990-01-28,GK,Guingamp (FRA),1.87,5,0,Sweden,futebol,0
13,Gustav SVENSSON,SVENSSON,Karl Gustav Johan,SVENSSON,1987-02-07,MF,Seattle Sounders Football Club (USA),1.83,14,0,Sweden,futebol,0
14,Filip HELANDER,HELANDER,Filip Viktor,HELANDER,1993-04-22,DF,Bologna (ITA),1.92,4,0,Sweden,futebol,0
15,Oscar HILJEMARK,HILJEMARK,Oscar Karl Niclas,HILJEMARK,1992-06-28,MF,Genoa (ITA),1.84,23,2,Sweden,futebol,0.1
16,Emil KRAFTH,KRAFT,Emil Henry Kristoffer,KRAFTH,1994-08-02,DF,Bologna (ITA),1.81,13,0,Sweden,futebol,0
17,Viktor CLAESSON,CLAESSON,Viktor Johan Anton,CLAESSON,1992-01-02,MF,Krasnodar (RUS),1.83,23,3,Sweden,futebol,0.1
18,Pontus JANSSON,JANSSON,Pontus Sven Gustav,JANSSON,1991-02-13,DF,Leeds (ENG),1.94,16,0,Sweden,futebol,0
19,Marcus ROHDEN,ROHDÉN,Marcus Christer,ROHDÉN,1991-05-11,MF,Crotone FC (ITA),1.82,12,1,Sweden,futebol,0.1
20,Ola TOIVONEN,TOIVONEN,Nils Ola,TOIVONEN,1986-07-03,FW,Toulouse FC (FRA),1.92,60,13,Sweden,futebol,0.2
21,Jimmy DURMAZ,DURMAZ,Jakup Jimmy,DURMAZ,1989-03-22,MF,Toulouse FC (FRA),1.8,45,3,Sweden,futebol,0.1
22,Isaac Kiese THELIN,THELIN,Isaac Kiese,KIESE THELIN,1992-06-24,FW,Beveren (BEL),1.89,21,2,Sweden,futebol,0.1
23,Kristoffer NORDFELDT,NORDFELDT,Bo Kristoffer,NORDFELDT,1989-06-23,GK,Swansea City (WAL),1.9,8,0,Sweden,futebol,0
1,Yann SOMMER,SOMMER,Yann,SOMMER,1988-12-17,GK,Borussia Moenchengladbach (GER),1.83,37,0,Switzerland,futebol,0
2,Stephan LICHTSTEINER,LICHTSTEINER,Stephan,LICHTSTEINER,1984-01-16,DF,Juventus (ITA),1.81,102,8,Switzerland,futebol,0.1
3,Francois MOUBANDJE,MOUBANDJE,Jacques Francois,MOUBANDJE,1990-06-21,DF,Toulouse FC (FRA),1.8,18,0,Switzerland,futebol,0
4,Nico ELVEDI,ELVEDI,Nico,ELVEDI,1996-09-30,DF,Borussia Moenchengladbach (GER),1.87,6,0,Switzerland,futebol,0
5,Manuel AKANJI,AKANJI,Manuel Obafemi,AKANJI,1995-07-19,DF,Borussia Dortmund (GER),1.86,9,0,Switzerland,futebol,0
6,Michael LANG,LANG,Michael Rico,LANG,1991-02-08,DF,FC Basel (SUI),1.85,25,2,Switzerland,futebol,0.1
7,Breel EMBOLO,EMBOLO,Breel Donald,EMBOLO,1997-02-14,FW,Schalke 04 (GER),1.84,27,3,Switzerland,futebol,0.1
8,Remo FREULER,FREULER,Remo Marco,FREULER,1992-04-15,MF,Atalanta Bergamo (ITA),1.81,10,0,Switzerland,futebol,0
9,Haris SEFEROVIC,SEFEROVIC,Haris,SEFEROVIC,1992-02-22,FW,Benfica (POR),1.86,53,12,Switzerland,futebol,0.2
10,Granit XHAKA,XHAKA,Granit,XHAKA,1992-09-27,MF,Arsenal (ENG),1.83,64,10,Switzerland,futebol,0.2
11,Valon BEHRAMI,BEHRAMI,Valon,BEHRAMI,1985-04-19,MF,Udinese (ITA),1.84,81,2,Switzerland,futebol,0
12,Yvon MVOGO,MVOGO NGANOMA,Yvon Landry,MVOGO,1994-06-06,GK,RasenBallsport Leipzig (GER),1.86,0,0,Switzerland,futebol,
13,Ricardo RODRIGUEZ,RODRIGUEZ ARAYA,Ricardo Ivan,RODRIGUEZ,1992-08-25,DF,AC Milan (ITA),1.8,55,5,Switzerland,futebol,0.1
14,Steven ZUBER,ZUBER,Steven,ZUBER,1991-08-17,MF,1899 Hoffenheim (GER),1.82,14,4,Switzerland,futebol,0.3
15,Blerim DZEMAILI,DZEMAILI,Blerim,DZEMAILI,1986-04-12,MF,Bologna (ITA),1.8,67,10,Switzerland,futebol,0.1
16,Gelson FERNANDES,TAVARES FERNANDES,Gelson Da Conceicao,G. FERNANDES,1986-09-02,MF,Eintracht Frankfurt (GER),1.8,67,2,Switzerland,futebol,0
17,Denis ZAKARIA,ZAKARIA LAKO LADO,Denis Lemi,ZAKARIA,1996-11-20,MF,Borussia Moenchengladbach (GER),1.89,11,0,Switzerland,futebol,0
18,Mario GAVRANOVIC,GAVRANOVIC,Mario,GAVRANOVIC,1989-11-24,FW,Dinamo Zagreb (CRO),1.75,15,5,Switzerland,futebol,0.3
19,Josip DRMIC,DRMIC,Josip,DRMIC,1992-08-08,FW,Borussia Moenchengladbach (GER),1.84,30,9,Switzerland,futebol,0.3
20,Johan DJOUROU,DJOUROU GBADJERE,Danon Issouf Johannes,DJOUROU,1987-01-18,DF,Antalyaspor (TUR),1.92,74,2,Switzerland,futebol,0
21,Roman BUERKI,BÜRKI,Roman,BÜRKI,1990-11-14,GK,Borussia Dortmund (GER),1.88,9,0,Switzerland,futebol,0
22,Fabian SCHAER,SCHÄR,Fabian Lukas,SCHÄR,1991-12-20,DF,Deportivo La Coruña (ESP),1.86,41,7,Switzerland,futebol,0.2
23,Xherdan SHAQIRI,SHAQIRI,Xherdan,SHAQIRI,1991-10-10,MF,Stoke (ENG),1.69,72,21,Switzerland,futebol,0.3
1,Farouk BEN MUSTAPHA,BEN MUSTAPHA,Farouk,BEN MUSTAPHA,1989-07-01,GK,Al Shabab (KSA),1.92,15,0,Tunisia,futebol,0
2,Syam BEN YOUSSEF,BEN YOUSSEF,Syam Habib,BEN YOUSSEF .S,1989-03-31,DF,Kasimpasa SK (TUR),1.89,43,1,Tunisia,futebol,0
