uf;municipio;data;eleitores
BA;itagiba;2015-12-18;12085
BA;itaquara;2015-10-16;6226
BA;jaborandi;2013-12-19;7227
BA;jaguaquara;2015-10-16;35296
BA;jitauna;2015-12-18;14099
BA;madre_de_deus;2016-01-13;13810
BA;muritiba;2014-02-26;22597
BA;paripiranga;2014-01-31;22811
BA;pojuca;2009-12-17;21726
BA;ribeirao_do_largo;2014-03-31;8635
BA;santo_antonio_de_jesus;2014-03-28;63764
BA;sao_desiderio;2014-01-31;18751
BA;sao_francisco_do_conde;2016-01-13;28992
BA;sao_jose_da_vitoria;2014-03-28;4975
BA;senhor_do_bonfim;2014-03-21;47275
BA;ubaitaba;2014-01-31;16257
BA;una;2014-03-31;18186
BA;varzedo;2014-03-28;7156
CE;abaiara;2015-12-18;6683
CE;alcantaras;2013-12-13;8958
CE;altaneira;2016-03-18;5914
CE;amontada;2016-03-31;31116
CE;aquiraz;2013-11-29;45324
CE;aratuba;2016-03-31;10396
CE;banabuiu;2016-03-18;13698
CE;barbalha;2016-03-31;41915
CE;baturite;2016-03-31;27926
CE;bela_cruz;2016-03-31;21957
CE;brejo_santo;2016-03-31;33841
CE;camocim;2015-11-27;46281
CE;capistrano;2016-03-31;15254
CE;caridade;2016-03-18;15059
CE;carire;2016-03-31;15537
CE;caririacu;2016-03-18;23418
CE;carius;2016-03-18;15776
CE;crateus;2013-11-29;57464
CE;crato;2016-03-18;86177
CE;eusebio;2009-12-18;30601
CE;farias_brito;2016-03-31;16348
CE;forquilha;2013-12-13;17341
CE;frecheirinha;2016-03-31;11067
CE;granjeiro;2016-03-31;5269
CE;groairas;2016-03-31;8631
CE;horizonte;2016-03-31;48187
CE;ibiapina;2015-09-18;17818
CE;iguatu;2015-12-18;69298
CE;ipaporanga;2013-11-29;10071
CE;iraucuba;2016-03-18;17475
CE;itaitinga;2016-03-31;25581
CE;itapaje;2016-03-18;38226
CE;itapipoca;2016-03-18;85401
CE;itapiuna;2016-03-31;16250
CE;itarema;2016-03-31;28879
CE;jardim;2016-03-18;22099
CE;jati;2016-03-18;6573
CE;juazeiro_do_norte;2013-12-13;165949
CE;jucas;2016-03-18;19826
CE;limoeiro_do_norte;2015-11-27;43662
CE;maracanau;2016-03-31;149540
CE;marco;2016-03-18;20412
CE;meruoca;2016-03-18;10389
CE;milagres;2015-12-18;22362
CE;miraima;2016-03-31;11105
CE;missao_velha;2016-03-18;27919
CE;mulungu;2016-03-31;8574
CE;nova_olinda;2016-03-31;11981
CE;ocara;2016-03-18;20727
CE;paraipaba;2016-03-31;22542
CE;paramoti;2016-03-18;9985
CE;penaforte;2016-03-18;6800
CE;porteiras;2016-03-31;13356
CE;quixelo;2015-12-18;12882
CE;quixere;2016-03-18;16952
CE;santana_do_cariri;2016-03-31;13570
CE;sobral;2013-12-13;131478
CE;tejucuoca;2016-03-18;14230
CE;tiangua;2016-03-31;50312
CE;ubajara;2015-11-27;24304
CE;varzea_alegre;2016-03-31;30548
CE;vicosa_do_ceara;2016-03-18;42745
DF;brasilia;2014-03-31;1863883
ES;agua_doce_do_norte;2016-02-26;9794
ES;aguia_branca;2016-03-18;8017
ES;alegre;2014-04-02;24841
ES;apiaca;2013-09-13;6460
ES;baixo_guandu;2013-10-18;24377
ES;boa_esperanca;2013-12-19;11824
ES;bom_jesus_do_norte;2013-09-20;8270
ES;castelo;2010-01-29;28017
ES;divino_de_sao_lourenco;2015-12-11;3859
ES;domingos_martins;2013-10-04;26797
ES;dores_do_rio_preto;2011-11-11;6145
ES;ibiracu;2014-04-02;9294
ES;ibitirama;2015-07-31;7570
ES;itaguacu;2013-10-18;12304
ES;itapemirim;2014-04-02;26205
ES;itarana;2013-10-04;9593
ES;joao_neiva;2016-01-15;13168
ES;laranja_da_terra;2016-03-31;9435
ES;marechal_floriano;2016-03-04;12724
ES;marilandia;2016-02-24;10355
ES;mimoso_do_sul;2016-03-31;21580
ES;mucurici;2013-12-18;5069
ES;muniz_freire;2014-04-02;14812
ES;ponto_belo;2016-03-31;6206
ES;rio_novo_do_sul;2014-04-02;9715
ES;santa_leopoldina;2013-10-04;10515
ES;santa_teresa;2013-10-11;18849
ES;sao_domingos_do_norte;2016-03-22;7202
ES;sao_roque_do_canaa;2016-03-29;9612
ES;viana;2010-01-29;41591
ES;vila_pavao;2016-02-12;7302
ES;vila_valerio;2016-03-11;12008
ES;vitoria;2016-03-31;257311
GO;abadia_de_goias;2014-02-14;6257
GO;agua_fria_de_goias;2016-03-19;4445
GO;agua_limpa;2016-03-19;2135
GO;alto_horizonte;2016-03-12;5360
GO;alvorada_do_norte;2016-03-04;6101
GO;amaralina;2016-03-11;2670
GO;anapolis;2014-02-14;243795
GO;anhanguera;2015-12-18;1006
GO;aparecida_de_goiania;2014-02-14;273686
GO;apore;2016-03-19;3275
GO;aragoiania;2014-02-14;6855
GO;araguapaz;2016-03-12;6081
GO;arenopolis;2016-02-26;3280
GO;aruana;2016-03-19;5711
