DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUNICIPIO;NOME_MUNICIPIO;NUMERO_ZONA;CODIGO_CARGO;DESCRICAO_CARGO;QTD_APTOS;QTD_SECOES;QTD_SECOES_AGREGADAS;QTD_APTOS_TOT;QTD_SECOES_TOT;QTD_COMPARECIMENTO;QTD_ABSTENCOES;QTD_VOTOS_NOMINAIS;QTD_VOTOS_BRANCOS;QTD_VOTOS_NULOS;QTD_VOTOS_LEGENDA;QTD_VOTOS_ANULADOS_APU_SEP;DATA_ULT_TOTALIZACAO;HORA_ULT_TOTALIZACAO;TRANSITO;QTD_VOTOS_ANULADOS
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;72052;72052;TURIÚBA;214;13;VEREADOR;1796;6;0;1796;6;1628;168;1507;6;39;76;0;02/10/2016;18:39:30;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;65218;65218;IPERÓ;369;11;PREFEITO;18809;52;1;18809;52;15046;3763;9215;708;5123;0;0;02/10/2016;19:33:07;N;0
03/05/2018;13:13:28;2016;2;ELEIÇÕES MUNICIPAIS 2016;SP;64750;64750;GUARUJÁ;212;11;PREFEITO;120473;336;9;120473;336;91693;28780;83001;2621;6071;0;0;30/10/2016;19:30:15;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66192;66192;JUNDIAÍ;424;13;VEREADOR;75403;261;0;75403;261;61242;14161;48208;3292;5698;4044;0;02/10/2016;20:09:45;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71315;71315;SERRANA;109;13;VEREADOR;32277;85;0;32277;85;26648;5629;23427;788;906;1527;0;23/02/2017;13:44:36;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;70572;70572;SANTO ANDRÉ;264;11;PREFEITO;39806;113;0;39806;113;30121;9685;22300;2093;5728;0;0;29/10/2016;13:10:52;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62731;62731;CACHOEIRA PAULISTA;145;13;VEREADOR;24970;70;4;24970;70;19808;5162;17044;578;984;1202;0;27/03/2017;14:25:22;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66397;66397;LIMEIRA;66;11;PREFEITO;115978;312;12;115978;312;91333;24645;76183;5146;10004;0;0;02/10/2016;19:40:26;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67598;67598;NOVA EUROPA;239;13;VEREADOR;8064;26;0;8064;26;6447;1617;5816;141;153;337;0;02/10/2016;18:15:58;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66990;66990;MIRACATU;218;13;VEREADOR;17404;49;2;17404;49;12288;5116;9478;299;1608;903;0;24/03/2017;14:49:41;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;67636;67636;NOVA GUATAPORANGA;175;11;PREFEITO;2023;9;1;2023;9;1804;219;1744;12;48;0;0;02/10/2016;18:07:46;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;71951;71951;TORRINHA;28;11;PREFEITO;7404;19;0;7404;19;5998;1406;5608;139;251;0;0;02/10/2016;18:19:09;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;68691;68691;PIQUEROBI;117;11;PREFEITO;3164;9;0;3164;9;2789;375;1376;40;1373;0;0;02/10/2016;18:06:01;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;65730;65730;ITIRAPINA;245;11;PREFEITO;9531;33;0;9531;33;8166;1365;7586;205;375;0;0;03/12/2016;09:25:12;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;68039;68039;PALMARES PAULISTA;111;11;PREFEITO;7483;22;1;7483;22;6399;1084;6021;98;280;0;0;02/10/2016;18:43:17;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;66575;66575;LUPÉRCIO;47;13;VEREADOR;3739;11;2;3739;11;3032;707;2728;53;70;181;0;08/11/2016;15:21:43;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;64190;64190;FLOREAL;162;13;VEREADOR;2862;8;0;2862;8;2507;355;2315;40;62;90;0;02/10/2016;17:55:15;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;SP;62715;62715;CAÇAPAVA;29;11;PREFEITO;69719;195;0;69719;195;54835;14884;32478;3315;19042;0;0;26/10/2016;14:06:21;N;0
